"","paper_id","total_sigeff","sig_effect","n_sigeff","pct_sigeff","maj_eff"
"57",1366,5,"Not significant or unclear",2,40,"Harmful"
"58",1368,1,"Harmful",1,100,"Harmful"
"59",1376,7,"Beneficial",3,42.8571428571429,"Beneficial"
"60",1376,7,"Harmful",3,42.8571428571429,"Beneficial"
"61",1376,7,"Not significant or unclear",1,14.2857142857143,"Beneficial"
"62",1488,24,"Changed",1,4.16666666666667,"Harmful"
"63",1488,24,"Harmful",16,66.6666666666667,"Harmful"
"64",1488,24,"Not significant or unclear",7,29.1666666666667,"Harmful"
"65",1551,27,"Changed",4,14.8148148148148,"Not significant or unclear"
"66",1551,27,"Harmful",7,25.9259259259259,"Not significant or unclear"
"67",1551,27,"Not significant or unclear",16,59.2592592592593,"Not significant or unclear"
"68",1565,2,"Not significant or unclear",2,100,"Not significant or unclear"
"69",1590,4,"Beneficial",3,75,"Beneficial"
"70",1590,4,"Not significant or unclear",1,25,"Beneficial"
"71",1616,4,"Harmful",2,50,"Mixed"
"72",1616,4,"Not significant or unclear",2,50,"Mixed"
"73",1681,1,"Harmful",1,100,"Harmful"
"74",1743,5,"Beneficial",3,60,"Beneficial"
"75",1743,5,"Changed",1,20,"Beneficial"
"76",1743,5,"Not significant or unclear",1,20,"Beneficial"
"77",1799,2,"Harmful",1,50,"Mixed"
"78",1799,2,"Not significant or unclear",1,50,"Mixed"
"79",1821,1,"Harmful",1,100,"Harmful"
"80",1893,6,"Beneficial",1,16.6666666666667,"Not significant or unclear"
"81",1893,6,"Changed",1,16.6666666666667,"Not significant or unclear"
"82",1893,6,"Not significant or unclear",4,66.6666666666667,"Not significant or unclear"
"83",2050,5,"Harmful",3,60,"Harmful"
"84",2050,5,"Not significant or unclear",2,40,"Harmful"
"85",2201,2,"Harmful",2,100,"Harmful"
"86",2222,1,"Harmful",1,100,"Harmful"
"87",2253,1,"Not significant or unclear",1,100,"Not significant or unclear"
"88",2284,1,"Beneficial",1,100,"Beneficial"
"89",2345,3,"Beneficial",2,66.6666666666667,"Beneficial"
"90",2345,3,"Harmful",1,33.3333333333333,"Beneficial"
"91",2401,4,"Beneficial",1,25,"Harmful"
"92",2401,4,"Changed",1,25,"Harmful"
"93",2401,4,"Harmful",2,50,"Harmful"
"94",2546,4,"Beneficial",2,50,"Beneficial"
"95",2546,4,"Changed",1,25,"Beneficial"
"96",2546,4,"Not significant or unclear",1,25,"Beneficial"
"97",2606,9,"Changed",5,55.5555555555556,"Changed"
"98",2606,9,"Not significant or unclear",4,44.4444444444444,"Changed"
"99",2642,5,"Beneficial",1,20,"Harmful"
"100",2642,5,"Harmful",4,80,"Harmful"
"101",2670,2,"Harmful",2,100,"Harmful"
"102",2998,4,"Changed",3,75,"Changed"
"103",2998,4,"Not significant or unclear",1,25,"Changed"
"104",3081,2,"Harmful",2,100,"Harmful"
"105",3112,13,"Beneficial",2,15.3846153846154,"Harmful"
"106",3112,13,"Changed",2,15.3846153846154,"Harmful"
"107",3112,13,"Harmful",8,61.5384615384615,"Harmful"
"108",3112,13,"Not significant or unclear",1,7.69230769230769,"Harmful"
"109",3122,6,"Beneficial",1,16.6666666666667,"Changed"
"110",3122,6,"Changed",4,66.6666666666667,"Changed"
"111",3122,6,"Not significant or unclear",1,16.6666666666667,"Changed"
"112",3151,2,"Beneficial",2,100,"Beneficial"
"113",3165,2,"Beneficial",1,50,"Mixed"
"114",3165,2,"Harmful",1,50,"Mixed"
"115",3243,1,"Harmful",1,100,"Harmful"
"116",3247,3,"Harmful",3,100,"Harmful"
"117",3361,3,"Not significant or unclear",3,100,"Not significant or unclear"
"118",3456,2,"Changed",1,50,"Mixed"
"119",3456,2,"Not significant or unclear",1,50,"Mixed"
"120",3484,4,"Changed",1,25,"Not significant or unclear"
"121",3484,4,"Harmful",1,25,"Not significant or unclear"
"122",3484,4,"Not significant or unclear",2,50,"Not significant or unclear"
"123",3485,6,"Harmful",1,16.6666666666667,"Not significant or unclear"
"124",3485,6,"Not significant or unclear",5,83.3333333333333,"Not significant or unclear"
"125",3511,2,"Changed",2,100,"Changed"
"126",3583,2,"Harmful",2,100,"Harmful"
"127",3668,1,"Harmful",1,100,"Harmful"
"128",3697,2,"Harmful",2,100,"Harmful"
"129",3772,22,"Beneficial",1,4.54545454545455,"Not significant or unclear"
"130",3772,22,"Changed",8,36.3636363636364,"Not significant or unclear"
"131",3772,22,"Harmful",2,9.09090909090909,"Not significant or unclear"
"132",3772,22,"Not significant or unclear",11,50,"Not significant or unclear"
"133",3849,6,"Beneficial",4,66.6666666666667,"Beneficial"
"134",3849,6,"Harmful",2,33.3333333333333,"Beneficial"
"135",3868,1,"Changed",1,100,"Changed"
"136",3924,8,"Beneficial",1,12.5,"Not significant or unclear"
"137",3924,8,"Not significant or unclear",7,87.5,"Not significant or unclear"
"138",3989,12,"Beneficial",1,8.33333333333333,"Not significant or unclear"
"139",3989,12,"Changed",2,16.6666666666667,"Not significant or unclear"
"140",3989,12,"Harmful",4,33.3333333333333,"Not significant or unclear"
"141",3989,12,"Not significant or unclear",5,41.6666666666667,"Not significant or unclear"
"142",4020,4,"Beneficial",4,100,"Beneficial"
"143",4060,57,"Beneficial",4,7.01754385964912,"Changed"
"144",4060,57,"Changed",41,71.9298245614035,"Changed"
"145",4060,57,"Not significant or unclear",12,21.0526315789474,"Changed"
"146",4063,4,"Harmful",3,75,"Harmful"
"147",4063,4,"Not significant or unclear",1,25,"Harmful"
"148",4087,1,"Not significant or unclear",1,100,"Not significant or unclear"
"149",4155,20,"Beneficial",7,35,"Not significant or unclear"
"150",4155,20,"Harmful",5,25,"Not significant or unclear"
"151",4155,20,"Not significant or unclear",8,40,"Not significant or unclear"
"152",4209,3,"Beneficial",1,33.3333333333333,"Not significant or unclear"
"153",4209,3,"Not significant or unclear",2,66.6666666666667,"Not significant or unclear"
"154",4257,4,"Changed",1,25,"Not significant or unclear"
"155",4257,4,"Not significant or unclear",3,75,"Not significant or unclear"
"156",4293,4,"Beneficial",1,25,"Not significant or unclear"
"157",4293,4,"Not significant or unclear",3,75,"Not significant or unclear"
"158",4393,1,"Harmful",1,100,"Harmful"
"159",4445,3,"Harmful",3,100,"Harmful"
"160",4509,1,"Harmful",1,100,"Harmful"
"161",4518,1,"Beneficial",1,100,"Beneficial"
"162",4551,6,"Beneficial",1,16.6666666666667,"Harmful"
"163",4551,6,"Harmful",3,50,"Harmful"
"164",4551,6,"Not significant or unclear",2,33.3333333333333,"Harmful"
"165",4552,15,"Beneficial",2,13.3333333333333,"Harmful"
"166",4552,15,"Harmful",10,66.6666666666667,"Harmful"
"167",4552,15,"Not significant or unclear",3,20,"Harmful"
"168",4574,1,"Harmful",1,100,"Harmful"
"169",4760,2,"Not significant or unclear",2,100,"Not significant or unclear"
"170",4831,11,"Changed",3,27.2727272727273,"Harmful"
"171",4831,11,"Harmful",5,45.4545454545455,"Harmful"
"172",4831,11,"Not significant or unclear",3,27.2727272727273,"Harmful"
"173",4832,2,"Not significant or unclear",2,100,"Not significant or unclear"
"174",4850,1,"Beneficial",1,100,"Beneficial"
"175",5063,3,"Harmful",3,100,"Harmful"
"176",5076,6,"Beneficial",4,66.6666666666667,"Beneficial"
"177",5076,6,"Harmful",2,33.3333333333333,"Beneficial"
"178",5125,1,"Harmful",1,100,"Harmful"
"179",5175,2,"Beneficial",1,50,"Mixed"
"180",5175,2,"Not significant or unclear",1,50,"Mixed"
"181",5309,1,"Harmful",1,100,"Harmful"
"182",5314,1,"Harmful",1,100,"Harmful"
"183",5477,1,"Harmful",1,100,"Harmful"
"184",5486,1,"Changed",1,100,"Changed"
"185",5577,1,"Not significant or unclear",1,100,"Not significant or unclear"
"186",5746,4,"Changed",1,25,"Not significant or unclear"
"187",5746,4,"Not significant or unclear",3,75,"Not significant or unclear"
"188",5756,7,"Changed",1,14.2857142857143,"Harmful"
"189",5756,7,"Harmful",6,85.7142857142857,"Harmful"
"190",5773,1,"Not significant or unclear",1,100,"Not significant or unclear"
"191",5782,1,"Beneficial",1,100,"Beneficial"
"192",5804,1,"Harmful",1,100,"Harmful"
"193",5844,8,"Beneficial",2,25,"Harmful"
"194",5844,8,"Harmful",6,75,"Harmful"
"195",5853,1,"Harmful",1,100,"Harmful"
"196",5875,2,"Not significant or unclear",2,100,"Not significant or unclear"
"197",5905,6,"Changed",1,16.6666666666667,"Harmful"
"198",5905,6,"Harmful",5,83.3333333333333,"Harmful"
"199",5926,5,"Harmful",4,80,"Harmful"
"200",5926,5,"Not significant or unclear",1,20,"Harmful"
"201",5966,2,"Changed",1,50,"Mixed"
"202",5966,2,"Harmful",1,50,"Mixed"
"203",6195,1,"Harmful",1,100,"Harmful"
"204",6254,8,"Harmful",5,62.5,"Harmful"
"205",6254,8,"Not significant or unclear",3,37.5,"Harmful"
"206",6321,3,"Harmful",3,100,"Harmful"
"207",6331,2,"Not significant or unclear",2,100,"Not significant or unclear"
"208",6396,5,"Not significant or unclear",5,100,"Not significant or unclear"
"209",6502,21,"Harmful",17,80.9523809523809,"Harmful"
"210",6502,21,"Not significant or unclear",4,19.047619047619,"Harmful"
"211",6511,6,"Beneficial",1,16.6666666666667,"Not significant or unclear"
"212",6511,6,"Not significant or unclear",5,83.3333333333333,"Not significant or unclear"
"213",6655,2,"Harmful",2,100,"Harmful"
"214",6820,1,"Harmful",1,100,"Harmful"
"215",6845,2,"Harmful",2,100,"Harmful"
"216",6948,7,"Harmful",5,71.4285714285714,"Harmful"
"217",6948,7,"Not significant or unclear",2,28.5714285714286,"Harmful"
"218",3790002,1,"Harmful",1,100,"Harmful"
